iter	Passed	Remaining
0	0	94
1	1	81
2	2	81
3	3	75
4	3	72
5	4	69
6	5	67
7	5	65
8	6	64
9	7	63
10	7	62
11	8	62
12	9	60
13	9	59
14	10	57
15	10	56
16	11	55
17	11	53
18	12	52
19	12	51
20	13	49
21	13	48
22	14	47
23	14	46
24	15	45
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	25	30
45	25	29
46	26	29
47	26	28
48	27	28
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	7
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
